combo,weight,ev
AhKhKcQd,1,1.04
AhKhKcQs,1,1.04
AhKsKhQc,1,1.04
AhKsKhQd,1,1.04
AdKdKcQh,1,1.04
AdKdKcQs,1,1.04
AdKsKdQc,1,1.04
AdKsKdQh,1,1.04
AdKhKdQc,1,1.04
AdKhKdQs,1,1.04
AcKsKcQh,1,1.04
AcKsKcQd,1,1.04
AcKhKcQd,1,1.04
AcKhKcQs,1,1.04
AcKdKcQs,1,1.04
AcKdKcQh,1,1.04
AsKsKhJd,1,1.02
AsKsKhJc,1,1.02
AsKsKdJc,1,1.02
AsKsKdJh,1,1.02
AsKsKcJh,1,1.02
AsKsKcJd,1,1.02
AhKhKdJc,1,1.02
AhKhKdJs,1,1.02
AhKhKcJd,1,1.02
AhKhKcJs,1,1.02
AhKsKhJc,1,1.02
AhKsKhJd,1,1.02
AdKdKcJh,1,1.02
AdKdKcJs,1,1.02
AdKsKdJc,1,1.02
AdKsKdJh,1,1.02
AdKhKdJc,1,1.02
AdKhKdJs,1,1.02
AcKsKcJh,1,1.02
AcKsKcJd,1,1.02
AcKhKcJd,1,1.02
AcKhKcJs,1,1.02
AcKdKcJs,1,1.02
AcKdKcJh,1,1.02
AsKsKhTd,1,1.02
AsKsKhTc,1,1.02
AsKsKdTc,1,1.02
AsKsKdTh,1,1.02
AsKsKcTh,1,1.02
AsKsKcTd,1,1.02
AhKhKdTc,1,1.02
AhKhKdTs,1,1.02
AhKhKcTd,1,1.02
AhKhKcTs,1,1.02
AhKsKhTc,1,1.02
AhKsKhTd,1,1.02
AdKdKcTh,1,1.02
AdKdKcTs,1,1.02
AdKsKdTc,1,1.02
AdKsKdTh,1,1.02
AdKhKdTc,1,1.02
AdKhKdTs,1,1.02
AcKsKcTh,1,1.02
AcKsKcTd,1,1.02
AcKhKcTd,1,1.02
AcKhKcTs,1,1.02
AcKdKcTs,1,1.02
AcKdKcTh,1,1.02
AsKsKh9d,1,0.73
AsKsKh9c,1,0.73
AsKsKd9c,1,0.73
AsKsKd9h,1,0.73
AsKsKc9h,1,0.73
AsKsKc9d,1,0.73
AhKhKd9c,1,0.73
AhKhKd9s,1,0.73
AhKhKc9d,1,0.73
AhKhKc9s,1,0.73
AhKsKh9c,1,0.73
AhKsKh9d,1,0.73
AdKdKc9h,1,0.73
AdKdKc9s,1,0.73
AdKsKd9c,1,0.73
AdKsKd9h,1,0.73
AdKhKd9c,1,0.73
AdKhKd9s,1,0.73
AcKsKc9h,1,0.73
AcKsKc9d,1,0.73
AcKhKc9d,1,0.73
AcKhKc9s,1,0.73
AcKdKc9s,1,0.73
AcKdKc9h,1,0.73
AsKsKh8d,1,0.71
AsKsKh8c,1,0.71
AsKsKd8c,1,0.71
AsKsKd8h,1,0.71
AsKsKc8h,1,0.71
AsKsKc8d,1,0.71
AhKhKd8c,1,0.71
AhKhKd8s,1,0.71
AhKhKc8d,1,0.71
AhKhKc8s,1,0.71
AhKsKh8c,1,0.71
AhKsKh8d,1,0.71
AdKdKc8h,1,0.71
AdKdKc8s,1,0.71
AdKsKd8c,1,0.71
AdKsKd8h,1,0.71
AdKhKd8c,1,0.71
AdKhKd8s,1,0.71
AcKsKc8h,1,0.71
AcKsKc8d,1,0.71
AcKhKc8d,1,0.71
AcKhKc8s,1,0.71
AcKdKc8s,1,0.71
AcKdKc8h,1,0.71
AsKsKh7d,1,0.71
AsKsKh7c,1,0.71
AsKsKd7c,1,0.71
AsKsKd7h,1,0.71
AsKsKc7h,1,0.71
AsKsKc7d,1,0.71
AhKhKd7c,1,0.71
AhKhKd7s,1,0.71
AhKhKc7d,1,0.71
AhKhKc7s,1,0.71
AhKsKh7c,1,0.71
AhKsKh7d,1,0.71
AdKdKc7h,1,0.71
AdKdKc7s,1,0.71
AdKsKd7c,1,0.71
AdKsKd7h,1,0.71
AdKhKd7c,1,0.71
AdKhKd7s,1,0.71
AcKsKc7h,1,0.71
AcKsKc7d,1,0.71
AcKhKc7d,1,0.71
AcKhKc7s,1,0.71
AcKdKc7s,1,0.71
AcKdKc7h,1,0.71
AsKsKh6d,1,0.69
AsKsKh6c,1,0.69
AsKsKd6c,1,0.69
AsKsKd6h,1,0.69
AsKsKc6h,1,0.69
AsKsKc6d,1,0.69
AhKhKd6c,1,0.69
AhKhKd6s,1,0.69
AhKhKc6d,1,0.69
AhKhKc6s,1,0.69
AhKsKh6c,1,0.69
AhKsKh6d,1,0.69
AdKdKc6h,1,0.69
AdKdKc6s,1,0.69
AdKsKd6c,1,0.69
AdKsKd6h,1,0.69
